date,nombre_tweets_par_jour,nombre_mentions_engie,nombre_tweets_critiques,auteurs_uniques,%_tweets_critiques,%_mentions_engie,semaine,nombre_tweets_par_semaine,mois,nombre_tweets_par_mois,heure,nombre_tweets_par_heure
2024-06-03,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-06-05,2.0,2,0,2.0,0.0,100.0,,,,,,
2024-06-06,4.0,4,0,4.0,0.0,100.0,,,,,,
2024-06-07,3.0,3,0,2.0,0.0,100.0,,,,,,
2024-06-09,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-06-11,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-06-12,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-06-18,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-06-19,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-06-20,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-06-22,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-06-24,2.0,2,0,2.0,0.0,100.0,,,,,,
2024-06-27,2.0,2,0,1.0,0.0,100.0,,,,,,
2024-06-28,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-07-01,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-07-02,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-07-04,2.0,2,1,2.0,50.0,100.0,,,,,,
2024-07-06,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-07-07,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-07-09,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-07-10,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-07-12,2.0,2,1,2.0,50.0,100.0,,,,,,
2024-07-16,3.0,3,0,3.0,0.0,100.0,,,,,,
2024-07-17,2.0,2,1,2.0,50.0,100.0,,,,,,
2024-07-18,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-07-19,2.0,2,0,2.0,0.0,100.0,,,,,,
2024-07-21,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-07-22,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-07-23,2.0,2,0,2.0,0.0,100.0,,,,,,
2024-07-25,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-07-27,1.0,1,0,1.0,0.0,100.0,,,,,,
2024-07-29,2.0,2,0,2.0,0.0,100.0,,,,,,
